"id","respondent_id","question_id","original_response","dator_primary","dator_secondary","dator_confidence","dator_rationale","dator_quote","meaning_units","areas_primary","areas_secondary","areas_confidence","areas_rationale","areas_quote","areas_scope","areas_scale","themes","researcher_validated","researcher_notes","origin","coded_at","matrix_position"
"R01-Q01","R01","Q01","The fact that there is no time allocated in our service planning is largely due to financial considerations. This prioritisation means that domestic issues take precedence.","Unclear / Not classifiable","[]","Low","Describes current allocation and priorities, without a future trajectory. Scarcity alone is not Collapse.","domestic issues take precedence.","[{""text"":""The fact that there is no time allocated in our service planning is largely due to financial considerations. This prioritisation means that domestic issues take precedence."",""dator_codes"":[],""rationale"":""Describes current allocation and priorities, without a future trajectory. Scarcity alone is not Collapse.""}]","Shaped","[]","High","Staff have no allocated time; financial prioritisation sets the limits of their international work.","domestic issues take precedence.","Reported","Local","[""Workload"",""Funding"",""Institutional priorities""]","false","","AI interpretation","2026-09-10","[]"
"R01-Q02","R01","Q02","That internationalisation is a natural and straightforward part of students’ studies and of lecturers’ course responsibilities.","Continued Growth","[]","High","Makes internationalisation an ordinary part of existing study and teaching responsibilities; the institutional model continues.","a natural and straightforward part","[{""text"":""That internationalisation is a natural and straightforward part of students’ studies and of lecturers’ course responsibilities."",""dator_codes"":[""Continued Growth""],""rationale"":""Makes internationalisation an ordinary part of existing study and teaching responsibilities; the institutional model continues.""}]","Unclear","[]","Low","Describes a desirable condition but no actor action, control or strategy.","a natural and straightforward part","Unspecified","Local","[""Curriculum integration""]","false","","AI interpretation","2026-09-10","[]"
"R01-Q03","R01","Q03","To continue to meet, and to ensure that there is time within our studies and work commitments to plan such courses and meetings.","Discipline","[""Continued Growth""]","Medium","Protected time within existing commitments is a deliberate allocation rule; continuing meetings also extends current collaboration.","time within our studies and work commitments","[{""text"":""To continue to meet"",""dator_codes"":[""Continued Growth""],""rationale"":""Continuation of recurring encounters.""},{""text"":""time within our studies and work commitments to plan such courses and meetings."",""dator_codes"":[""Discipline""],""rationale"":""Planning time must be secured within collective workloads.""}]","Architecting","[]","Medium","Proposes arranging workload time for courses and meetings. This is proposed local coordination, not evidence that it has been secured.","time within our studies and work commitments","Proposed","Local","[""Protected time"",""Partnerships""]","false","","AI interpretation","2026-09-10","[{""dator"":""Discipline"",""areas"":""Architecting"",""match"":""primary-primary""},{""dator"":""Continued Growth"",""areas"":""Architecting"",""match"":""secondary-involved""}]"
"R02-Q01","R02","Q01","The workload, (finding the time) but also sometimes lack of funding for travels etc.","Unclear / Not classifiable","[]","Low","Reports present workload and travel funding shortages; no decline or future outcome is described.","sometimes lack of funding for travels","[{""text"":""The workload, (finding the time) but also sometimes lack of funding for travels etc."",""dator_codes"":[],""rationale"":""Reports present workload and travel funding shortages; no decline or future outcome is described.""}]","Shaped","[]","High","Participation is constrained by time and travel funding, with no control over those conditions described.","sometimes lack of funding for travels","Reported","Local","[""Workload"",""Funding""]","false","","AI interpretation","2026-09-10","[]"
"R02-Q02","R02","Q02","Something that occur in both educational programs and research: preferably face-to-face exchange in order to gain a better understanding of other contexts and traditions","Continued Growth","[]","High","Extends exchange through education and research while retaining existing programmes and the value of situated encounters.","preferably face-to-face exchange","[{""text"":""Something that occur in both educational programs and research: preferably face-to-face exchange in order to gain a better understanding of other contexts and traditions"",""dator_codes"":[""Continued Growth""],""rationale"":""Extends exchange through education and research while retaining existing programmes and the value of situated encounters.""}]","Unclear","[]","Low","Prefers face-to-face exchange but does not identify who is building or controlling it.","preferably face-to-face exchange","Unspecified","Local","[""Mobility"",""Context and plurality""]","false","","AI interpretation","2026-09-10","[]"
"R02-Q03","R02","Q03","Allocated funds and supporting structures (tools, contacts, etc), and funds that also can be used to give teachers/researchers time in their schedule","Discipline","[""Continued Growth""]","Medium","Earmarked funds and scheduled time imply intentional allocation of collective capacity; the goal is expanded existing activity.","give teachers/researchers time in their schedule","[{""text"":""Allocated funds and supporting structures (tools, contacts, etc)"",""dator_codes"":[""Discipline""],""rationale"":""Dedicated shared provision supports participation.""},{""text"":""give teachers/researchers time in their schedule"",""dator_codes"":[""Discipline""],""rationale"":""Workload time is deliberately allocated.""}]","Architecting","[]","Medium","Proposes supporting structures and workload allocation. Institutional authority to implement them is not demonstrated.","give teachers/researchers time in their schedule","Proposed","Local","[""Protected time"",""Funding"",""Administrative support""]","false","","AI interpretation","2026-09-10","[{""dator"":""Discipline"",""areas"":""Architecting"",""match"":""primary-primary""},{""dator"":""Continued Growth"",""areas"":""Architecting"",""match"":""secondary-involved""}]"
"R03-Q01","R03","Q01","Language—as the teaching language in our institution is the national language.","Unclear / Not classifiable","[]","Low","A current teaching-language barrier is not itself an imagined future.","the teaching language in our institution is the national language.","[{""text"":""Language—as the teaching language in our institution is the national language."",""dator_codes"":[],""rationale"":""A current teaching-language barrier is not itself an imagined future.""}]","Shaped","[]","High","Teaching language is presented as a condition limiting participation, not as an active attempt to prevent change.","the teaching language in our institution is the national language.","Reported","Local","[""Language""]","false","","AI interpretation","2026-09-10","[]"
"R03-Q02","R03","Q02","A number of elective courses that are co-developed by the participating universities and taught in English. These courses should be part online and part intensive, hosted by the universities responsible for each course.","Continued Growth","[""Discipline""]","Medium","Adds jointly developed hybrid electives to existing universities. Shared provision implies coordination, but neither online teaching nor electives replace the university model.","elective courses that are co-developed by the participating universities","[{""text"":""A number of elective courses that are co-developed by the participating universities and taught in English."",""dator_codes"":[""Continued Growth""],""rationale"":""New electives extend existing university provision.""},{""text"":""These courses should be part online and part intensive, hosted by the universities responsible for each course."",""dator_codes"":[""Continued Growth"",""Discipline""],""rationale"":""Hybrid delivery remains within universities and requires shared hosting arrangements.""}]","Architecting","[]","Medium","Proposes partner universities co-developing and hosting courses: a concrete design at partnership scale, still aspirational.","elective courses that are co-developed by the participating universities","Proposed","Regional/Sectoral","[""Joint courses"",""Hybrid learning"",""Language""]","false","","AI interpretation","2026-09-10","[{""dator"":""Continued Growth"",""areas"":""Architecting"",""match"":""primary-primary""},{""dator"":""Discipline"",""areas"":""Architecting"",""match"":""secondary-involved""}]"
"R03-Q03","R03","Q03","We could apply for the next round of funding to work on developing these courses and test them out. ","Continued Growth","[]","High","A next funding round and course testing describe incremental development within the grant system.","developing these courses and test them out.","[{""text"":""We could apply for the next round of funding to work on developing these courses and test them out. "",""dator_codes"":[""Continued Growth""],""rationale"":""A next funding round and course testing describe incremental development within the grant system.""}]","Architecting","[]","Medium","The respondent proposes developing and testing courses. Applying for normal funding is not evidence of exploiting systemic friction.","developing these courses and test them out.","Proposed","Local","[""Funding"",""Course pilots""]","false","","AI interpretation","2026-09-10","[{""dator"":""Continued Growth"",""areas"":""Architecting"",""match"":""primary-primary""}]"
"R04-Q01","R04","Q01","Internationalisation is already happening at my institution. In most ways it is really good, it brings funding and a metaperspective to the activities and counteracts traditionality, but it also diminishes the Swedish context where English-speaking academics gets interpretation priority.","Unclear / Not classifiable","[]","Low","Evaluates present gains and unequal voice rather than predicting a future. Critique alone does not establish decline.","English-speaking academics gets interpretation priority.","[{""text"":""it brings funding and a metaperspective to the activities and counteracts traditionality"",""dator_codes"":[],""rationale"":""A current evaluation of benefits, not a future trajectory.""},{""text"":""it also diminishes the Swedish context where English-speaking academics gets interpretation priority."",""dator_codes"":[],""rationale"":""A present asymmetry of voice; no breakdown scenario is described.""}]","Shaped","[]","High","The local context loses interpretive priority to English-speaking academics. Benefits are reported, but no brokerage or organised resistance is demonstrated.","English-speaking academics gets interpretation priority.","Reported","Local","[""Language"",""Context and plurality"",""Institutional priorities""]","false","","AI interpretation","2026-09-10","[]"
"R04-Q02","R04","Q02","There is probably no ideal situation, but in every situation an open academic freedom is the best with plurality for many voices, orientations and a tolerant and respectful working environment is the best to also achieve academic success. If internationalisation supports this, it is the best or creates an ideal situation.","Discipline","[]","Medium","Internationalisation is conditional on academic freedom, pluralism and respect. A values-governed future is a better fit than more activity for its own sake; explicit regulation is absent.","plurality for many voices","[{""text"":""There is probably no ideal situation"",""dator_codes"":[],""rationale"":""Explicitly refuses one ideal endpoint.""},{""text"":""an open academic freedom is the best with plurality for many voices, orientations and a tolerant and respectful working environment"",""dator_codes"":[""Discipline""],""rationale"":""Pluralism and freedom provide evaluative conditions for internationalisation, though formal regulation is not specified.""}]","Unclear","[]","Low","States evaluative principles and rejects a single ideal; it does not report active resistance or an actor implementing rules.","plurality for many voices","Unspecified","Local","[""Context and plurality"",""Academic freedom""]","false","","AI interpretation","2026-09-10","[]"
"R04-Q03","R04","Q03","It requires leadership, collaboration, collegiality and an organisational and administrative structure that works for the development of the work and activities that should be in focus for the best of education and research.","Discipline","[]","High","An organisational structure oriented to shared educational and research priorities centres collective coordination.","an organisational and administrative structure","[{""text"":""It requires leadership, collaboration, collegiality and an organisational and administrative structure that works for the development of the work and activities that should be in focus for the best of education and research."",""dator_codes"":[""Discipline""],""rationale"":""An organisational structure oriented to shared educational and research priorities centres collective coordination.""}]","Architecting","[]","Medium","Assigns a design and coordination role to leadership and administration, as a requirement rather than an accomplished position.","an organisational and administrative structure","Proposed","Local","[""Leadership"",""Administrative support"",""Partnerships""]","false","","AI interpretation","2026-09-10","[{""dator"":""Discipline"",""areas"":""Architecting"",""match"":""primary-primary""}]"
"R05-Q01","R05","Q01","Our teaching in teacher education in arts and crafts is in Norwegian except for one subject (15 ECTS) that can be taught in English. The whole programme is not very 'geared' towards international visits and exchanges. A number of students have family or other obligations at home or are not particularly interested. The teachers could also motivate them more, I guess.","Unclear / Not classifiable","[]","Low","Describes current language, family and programme constraints, not a future scenario.","family or other obligations at home","[{""text"":""The whole programme is not very 'geared' towards international visits and exchanges."",""dator_codes"":[],""rationale"":""Current structural fit, not a future scenario.""},{""text"":""A number of students have family or other obligations at home or are not particularly interested."",""dator_codes"":[],""rationale"":""Present obligations and interest are not strategic resistance or a future trajectory.""}]","Shaped","[]","High","Students and teachers navigate language, programme design and obligations. Lack of interest is not evidence of active resistance.","family or other obligations at home","Reported","Local","[""Language"",""Curriculum constraints"",""Care and motivation""]","false","","AI interpretation","2026-09-10","[]"
"R05-Q02","R05","Q02","Knowledge of nordic programmes in universities and schools. Visits from abroad both of teachers and students","Continued Growth","[]","High","More knowledge and incoming visits extend familiar university and school exchange practices.","Visits from abroad both of teachers and students","[{""text"":""Knowledge of nordic programmes in universities and schools. Visits from abroad both of teachers and students"",""dator_codes"":[""Continued Growth""],""rationale"":""More knowledge and incoming visits extend familiar university and school exchange practices.""}]","Unclear","[]","Low","The short answer names desired encounters, without enough action evidence to assign a position.","Visits from abroad both of teachers and students","Unspecified","Local","[""Mobility"",""Partnerships""]","false","","AI interpretation","2026-09-10","[]"
"R05-Q03","R05","Q03","Close partnerships with other institutions (and Schools) might be a possibility","Continued Growth","[]","High","Closer partnerships improve existing institutional relationships; no new organisational logic is specified.","Close partnerships with other institutions","[{""text"":""Close partnerships with other institutions (and Schools) might be a possibility"",""dator_codes"":[""Continued Growth""],""rationale"":""Closer partnerships improve existing institutional relationships; no new organisational logic is specified.""}]","Unclear","[]","Low","A possible partnership is not enough to establish rule-setting, brokerage or another strategic position.","Close partnerships with other institutions","Proposed","Local","[""Partnerships""]","false","","AI interpretation","2026-09-10","[]"
"R06-Q01","R06","Q01","It depends on what is meant by internationalisation and the context in which it is considered. In general, the main barriers are funding and time. Lack of engagement is less often an issue.","Unclear / Not classifiable","[]","Low","Defines a present resource problem and questions the meaning of internationalisation; it offers no future direction.","the main barriers are funding and time.","[{""text"":""It depends on what is meant by internationalisation and the context in which it is considered. In general, the main barriers are funding and time. Lack of engagement is less often an issue."",""dator_codes"":[],""rationale"":""Defines a present resource problem and questions the meaning of internationalisation; it offers no future direction.""}]","Shaped","[]","High","Funding and time limit engagement despite willingness. No ability to change those limits is stated.","the main barriers are funding and time.","Reported","Local","[""Workload"",""Funding"",""Meaning of internationalisation""]","false","","AI interpretation","2026-09-10","[]"
"R06-Q02","R06","Q02","Collaborative learning, sharing experiences, inspiration from effective practices and approaches, and, in the best of worlds, learning about the world and one’s own identity within it.","Continued Growth","[]","Medium","Shared learning and inspiration improve existing practices. Personal identity learning does not demonstrate systemic Transformation.","Collaborative learning, sharing experiences","[{""text"":""Collaborative learning, sharing experiences, inspiration from effective practices and approaches"",""dator_codes"":[""Continued Growth""],""rationale"":""Learning improves existing practice.""},{""text"":""learning about the world and one’s own identity within it."",""dator_codes"":[],""rationale"":""Personal reflexivity matters, but does not specify a reorganisation of institutions.""}]","Unclear","[]","Low","Describes what learning should offer, without specifying a strategic action or control of change.","Collaborative learning, sharing experiences","Unspecified","Local","[""Shared learning"",""Context and plurality""]","false","","AI interpretation","2026-09-10","[]"
"R06-Q03","R06","Q03","The necessary conditions. There need to be individuals who have the knowledge and capacity to handle the administrative work involved in exchanges and internationalisation in its various forms. I am convinced that the willingness and commitment are there, at least in the relationship between Finland and Sweden.","Discipline","[]","High","Dedicated administrative knowledge and capacity make collective provision the condition of internationalisation.","knowledge and capacity to handle the administrative work","[{""text"":""The necessary conditions. There need to be individuals who have the knowledge and capacity to handle the administrative work involved in exchanges and internationalisation in its various forms. I am convinced that the willingness and commitment are there, at least in the relationship between Finland and Sweden."",""dator_codes"":[""Discipline""],""rationale"":""Dedicated administrative knowledge and capacity make collective provision the condition of internationalisation.""}]","Architecting","[]","Medium","Proposes staffing the administrative work needed for exchanges. This is an infrastructure requirement, not evidence of current authority.","knowledge and capacity to handle the administrative work","Proposed","Local","[""Administrative support"",""Protected time"",""Partnerships""]","false","","AI interpretation","2026-09-10","[{""dator"":""Discipline"",""areas"":""Architecting"",""match"":""primary-primary""}]"
"R07-Q01","R07","Q01","My colleagues keep saying they have no time. When it comes to the students, we offer very few opportunities/""open windows"" when they can choose exchange studies. But basically - everyone, students and staff, are too stressed. Also, maybe, lack of curiosity. And the fact that teacher education is so rigidly connected to national curricula makes teachers and students think it is of ""no use"" to visit and learn from other countries. ","Unclear / Not classifiable","[]","Low","Present stress and restricted exchange windows do not by themselves describe future institutional breakdown.","everyone, students and staff, are too stressed.","[{""text"":""My colleagues keep saying they have no time. When it comes to the students, we offer very few opportunities/\""open windows\"" when they can choose exchange studies. But basically - everyone, students and staff, are too stressed. Also, maybe, lack of curiosity. And the fact that teacher education is so rigidly connected to national curricula makes teachers and students think it is of \""no use\"" to visit and learn from other countries. "",""dator_codes"":[],""rationale"":""Present stress and restricted exchange windows do not by themselves describe future institutional breakdown.""}]","Shaped","[]","High","Staff and students operate within stress, limited windows and national curricula; reported scepticism is not organised resistance.","everyone, students and staff, are too stressed.","Reported","Local","[""Workload"",""Curriculum constraints"",""Care and motivation""]","false","","AI interpretation","2026-09-10","[]"
"R07-Q02","R07","Q02","It should be present on every level: student exchange, teachers visiting and learning from each other, and researchers visiting and collaborating. That is, very much as it is formulated already... But it should come more ""naturally"" and regularly. ","Continued Growth","[]","High","Explicitly wants already-formulated exchange goals to happen more regularly across existing levels.","very much as it is formulated already","[{""text"":""It should be present on every level: student exchange, teachers visiting and learning from each other, and researchers visiting and collaborating. That is, very much as it is formulated already... But it should come more \""naturally\"" and regularly. "",""dator_codes"":[""Continued Growth""],""rationale"":""Explicitly wants already-formulated exchange goals to happen more regularly across existing levels.""}]","Unclear","[]","Low","A regularity aspiration names neither rule-setting action nor a strategy being pursued.","very much as it is formulated already","Unspecified","Local","[""Curriculum integration"",""Mobility"",""Shared learning""]","false","","AI interpretation","2026-09-10","[]"
"R07-Q03","R07","Q03","Maybe make it mandatory, or part of our curricula, to get to know how other countries arrange their visual art teacher education. ""Know thy neighbour""","Discipline","[]","High","Making comparative learning mandatory or curricular is deliberate institutional regulation of participation.","Maybe make it mandatory, or part of our curricula","[{""text"":""Maybe make it mandatory, or part of our curricula, to get to know how other countries arrange their visual art teacher education. \""Know thy neighbour\"""",""dator_codes"":[""Discipline""],""rationale"":""Making comparative learning mandatory or curricular is deliberate institutional regulation of participation.""}]","Architecting","[]","Medium","Proposes changing curriculum requirements at local programme scale. The power to enact this is unknown.","Maybe make it mandatory, or part of our curricula","Proposed","Local","[""Curriculum integration"",""Shared rules""]","false","","AI interpretation","2026-09-10","[{""dator"":""Discipline"",""areas"":""Architecting"",""match"":""primary-primary""}]"
"R08-Q01","R08","Q01","Internationalisation requires special care and time in terms of planning and coordination, whether it involves a visiting teacher or an international student. It seems that one of the biggest barriers to internationalisation is the timetable itself. Genuine interest from student in engaging with visiting teachers tends to emerge when these visits are integrated into  course which the students are already enrolled. ","Unclear / Not classifiable","[]","Low","The timetable and coordination problem is current. An observation about student engagement is not a future scenario.","one of the biggest barriers to internationalisation is the timetable itself.","[{""text"":""Internationalisation requires special care and time in terms of planning and coordination, whether it involves a visiting teacher or an international student. It seems that one of the biggest barriers to internationalisation is the timetable itself. Genuine interest from student in engaging with visiting teachers tends to emerge when these visits are integrated into  course which the students are already enrolled. "",""dator_codes"":[],""rationale"":""The timetable and coordination problem is current. An observation about student engagement is not a future scenario.""}]","Shaped","[]","High","Visiting teachers and students depend on timetable integration and planning conditions.","one of the biggest barriers to internationalisation is the timetable itself.","Reported","Local","[""Workload"",""Curriculum constraints"",""Coordination""]","false","","AI interpretation","2026-09-10","[]"
"R08-Q02","R08","Q02","The ideal situation will be created when the following elements come together. 
For visiting teachers: incoming teachers send us a brief introduction to their research areas and their interest in teaching at our institution before student registration for courses begins. For example, students register for courses taught in the spring semester during November and for courses taught in the autumn during April. The internationalisation coordinator then can make use of the course named Independent Work (2ECTS), allowing students to register to the course and thereby reserve time in their time table to meet with the visiting teacher. Alternatively, the internationalisation coordinator can identify courses that align well with the visiting teacher´s research area and try to integrate teacher´s contribution into those courses. 
For our students: outgoing students (most likely in their final year) are matched with teachers at partner institutions according to their interests and research area. The outcomes of the exchange is then assessed and recognised as ECTS based on discussion and agreement between two institutions.  ","Discipline","[""Continued Growth""]","Medium","Course-registration deadlines, interest matching and agreed ECTS create a coordinated framework for more exchange within existing programmes.","assessed and recognised as ECTS based on discussion and agreement between two institutions.","[{""text"":""incoming teachers send us a brief introduction to their research areas and their interest in teaching at our institution before student registration for courses begins."",""dator_codes"":[""Discipline""],""rationale"":""Information must precede registration to coordinate participation.""},{""text"":""allowing students to register to the course and thereby reserve time in their time table to meet with the visiting teacher."",""dator_codes"":[""Discipline"",""Continued Growth""],""rationale"":""Scheduling enables expanded encounters within an existing course.""},{""text"":""outgoing students (most likely in their final year) are matched with teachers at partner institutions according to their interests and research area."",""dator_codes"":[""Continued Growth""],""rationale"":""Matching improves existing mobility.""},{""text"":""assessed and recognised as ECTS based on discussion and agreement between two institutions."",""dator_codes"":[""Discipline""],""rationale"":""Shared credit rules recognise the exchange.""}]","Architecting","[]","Medium","Specifies coordinator and partner-institution actions for registration, integration and credit recognition. Detailed design is not proof of implementation.","assessed and recognised as ECTS based on discussion and agreement between two institutions.","Proposed","Regional/Sectoral","[""Coordination"",""Credit recognition"",""Curriculum integration"",""Mobility""]","false","","AI interpretation","2026-09-10","[{""dator"":""Discipline"",""areas"":""Architecting"",""match"":""primary-primary""},{""dator"":""Continued Growth"",""areas"":""Architecting"",""match"":""secondary-involved""}]"
"R08-Q03","R08","Q03","The role of internationalisation coordinator, who is also member of the academic staff needs to be clearly defined and sustained in order to support internationalisation- not only during this project periods but on an ongoing basis. This role should complement the work of the International office, which focuses more on practical matters such as funding, logistics and administration. ","Discipline","[]","High","An ongoing academic coordinator with a defined division of labour replaces dependence on project periods with sustained collective provision.","not only during this project periods but on an ongoing basis.","[{""text"":""needs to be clearly defined and sustained"",""dator_codes"":[""Discipline""],""rationale"":""An ongoing role and mandate are required.""},{""text"":""This role should complement the work of the International office"",""dator_codes"":[""Discipline""],""rationale"":""Defines a division of labour rather than replacing existing administration.""}]","Architecting","[]","Medium","Proposes defining and sustaining an academic coordinator alongside the International office; the employment mandate is not yet evidenced.","not only during this project periods but on an ongoing basis.","Proposed","Local","[""Coordination"",""Protected time"",""Administrative support""]","false","","AI interpretation","2026-09-10","[{""dator"":""Discipline"",""areas"":""Architecting"",""match"":""primary-primary""}]"
"R09-Q01","R09","Q01","In my view, the biggest obstacles are simply time and budget. The ambition is definitely there, even from central leadership, but finding the money is a constant struggle. It’s hard to find and secure enough funding—both from the university itself and through national grants—especially for longer-term projects.","Unclear / Not classifiable","[]","Low","Difficulty securing long-term funding is a current constraint; the response does not predict the loss of programmes.","finding the money is a constant struggle.","[{""text"":""In my view, the biggest obstacles are simply time and budget. The ambition is definitely there, even from central leadership, but finding the money is a constant struggle. It’s hard to find and secure enough funding—both from the university itself and through national grants—especially for longer-term projects."",""dator_codes"":[],""rationale"":""Difficulty securing long-term funding is a current constraint; the response does not predict the loss of programmes.""}]","Shaped","[]","High","Even leadership ambition is limited by institutional and grant resources, revealing constrained agency without assuming opposition.","finding the money is a constant struggle.","Reported","Local","[""Workload"",""Funding"",""Leadership""]","false","","AI interpretation","2026-09-10","[]"
